code,name,hierarchy_level,hierarchy_level_name,parent_loc_code,lang_code,is_active,cr_by,cr_dtimes
TG,TOGO,0,PAYS,,fra,TRUE,superadmin,now()
1,SAVANES,1,REGION,TG,fra,TRUE,superadmin,now()
2,KARA,1,REGION,TG,fra,TRUE,superadmin,now()
3,CENTRALE,1,REGION,TG,fra,TRUE,superadmin,now()
4,PLATEAUX,1,REGION,TG,fra,TRUE,superadmin,now()
5,MARITIME,1,REGION,TG,fra,TRUE,superadmin,now()
6,CINKASSÉ,2,PREFECTURE,1,fra,TRUE,superadmin,now()
7,KPENDJAL,2,PREFECTURE,1,fra,TRUE,superadmin,now()
8,KPENDJAL-OUEST NAKI-EST,2,PREFECTURE,1,fra,TRUE,superadmin,now()
9,OTI MANGO,2,PREFECTURE,1,fra,TRUE,superadmin,now()
10,OTI-SUD GANDO,2,PREFECTURE,1,fra,TRUE,superadmin,now()
11,TANDJOUARÉ,2,PREFECTURE,1,fra,TRUE,superadmin,now()
12,TÔNE,2,PREFECTURE,1,fra,TRUE,superadmin,now()
13,ASSOLI,2,PREFECTURE,2,fra,TRUE,superadmin,now()
14,BASSAR,2,PREFECTURE,2,fra,TRUE,superadmin,now()
15,BINAH,2,PREFECTURE,2,fra,TRUE,superadmin,now()
16,DANKPEN,2,PREFECTURE,2,fra,TRUE,superadmin,now()
17,DOUFELGOU,2,PREFECTURE,2,fra,TRUE,superadmin,now()
18,KÉRAN,2,PREFECTURE,2,fra,TRUE,superadmin,now()
19,KOZAH,2,PREFECTURE,2,fra,TRUE,superadmin,now()
20,BLITTA,2,PREFECTURE,3,fra,TRUE,superadmin,now()
21,SOTOUBOUA,2,PREFECTURE,3,fra,TRUE,superadmin,now()
22,TCHAMBA,2,PREFECTURE,3,fra,TRUE,superadmin,now()
23,TCHAOUDJO,2,PREFECTURE,3,fra,TRUE,superadmin,now()
24,MÔ,2,PREFECTURE,3,fra,TRUE,superadmin,now()
25,AGOU,2,PREFECTURE,4,fra,TRUE,superadmin,now()
26,AKÉBOU,2,PREFECTURE,4,fra,TRUE,superadmin,now()
27,AMOU,2,PREFECTURE,4,fra,TRUE,superadmin,now()
28,ANIÉ,2,PREFECTURE,4,fra,TRUE,superadmin,now()
29,DANYI,2,PREFECTURE,4,fra,TRUE,superadmin,now()
30,HAHO,2,PREFECTURE,4,fra,TRUE,superadmin,now()
31,KLOTO,2,PREFECTURE,4,fra,TRUE,superadmin,now()
32,KPÉLÉ,2,PREFECTURE,4,fra,TRUE,superadmin,now()
33,MOYEN-MONO,2,PREFECTURE,4,fra,TRUE,superadmin,now()
34,OGOU,2,PREFECTURE,4,fra,TRUE,superadmin,now()
35,WAWA,2,PREFECTURE,4,fra,TRUE,superadmin,now()
36,AGOUÈ-NYIVÉ,2,PREFECTURE,5,fra,TRUE,superadmin,now()
37,AVÉ,2,PREFECTURE,5,fra,TRUE,superadmin,now()
38,BAS-MONO,2,PREFECTURE,5,fra,TRUE,superadmin,now()
39,GOLFE,2,PREFECTURE,5,fra,TRUE,superadmin,now()
40,LACS,2,PREFECTURE,5,fra,TRUE,superadmin,now()
41,VO,2,PREFECTURE,5,fra,TRUE,superadmin,now()
42,YOTO,2,PREFECTURE,5,fra,TRUE,superadmin,now()
43,ZIO,2,PREFECTURE,5,fra,TRUE,superadmin,now()
44,EST-MONO,2,PREFECTURE,4,fra,TRUE,superadmin,now()
45,CINKASSÉ,3,TOWN,6,fra,TRUE,superadmin,now()
46,BOADÉ,3,TOWN,6,fra,TRUE,superadmin,now()
47,NOAGA,3,TOWN,6,fra,TRUE,superadmin,now()
48,GOULOUNGOUSSI ,3,TOWN,6,fra,TRUE,superadmin,now()
49,TIMBOU,3,TOWN,6,fra,TRUE,superadmin,now()
50,SAM-NABA,3,TOWN,6,fra,TRUE,superadmin,now()
51,NADJOUNDI,3,TOWN,6,fra,TRUE,superadmin,now()
52,BIANKOURI,3,TOWN,6,fra,TRUE,superadmin,now()
53,DAPAONG,3,TOWN,12,fra,TRUE,superadmin,now()
54,TOAGA,3,TOWN,12,fra,TRUE,superadmin,now()
55,PANA,3,TOWN,12,fra,TRUE,superadmin,now()
56,BIDJENGA,3,TOWN,12,fra,TRUE,superadmin,now()
57,KOURIENTRE,3,TOWN,12,fra,TRUE,superadmin,now()
58,POISSONGUI,3,TOWN,12,fra,TRUE,superadmin,now()
59,NATIGOU,3,TOWN,12,fra,TRUE,superadmin,now()
60,NAKI-OUEST,3,TOWN,12,fra,TRUE,superadmin,now()
61,NAMARÉ,3,TOWN,12,fra,TRUE,superadmin,now()
62,NANERGOU,3,TOWN,12,fra,TRUE,superadmin,now()
63,TAMI,3,TOWN,12,fra,TRUE,superadmin,now()
64,NIOUKPOURMA,3,TOWN,12,fra,TRUE,superadmin,now()
65,LOTOGOU,3,TOWN,12,fra,TRUE,superadmin,now()
