screen_id,role_code,lang_code,is_permitted,is_active,cr_by,cr_dtimes
eodRoot,REGISTRATION_SUPERVISOR,fra,TRUE,TRUE,system,now()
eodRoot,REGISTRATION_ADMIN,fra,TRUE,TRUE,system,now()
reRegisterRoot,REGISTRATION_SUPERVISOR,fra,TRUE,TRUE,system,now()
reRegisterRoot,REGISTRATION_ADMIN,fra,TRUE,TRUE,system,now()
lostUINRoot,REGISTRATION_OFFICER,fra,TRUE,TRUE,system,now()
lostUINRoot,REGISTRATION_SUPERVISOR,fra,TRUE,TRUE,system,now()
lostUINRoot,REGISTRATION_ADMIN,fra,TRUE,TRUE,system,now()
newRegistrationRoot,REGISTRATION_OFFICER,fra,TRUE,TRUE,system,now()
newRegistrationRoot,REGISTRATION_SUPERVISOR,fra,TRUE,TRUE,system,now()
newRegistrationRoot,REGISTRATION_ADMIN,fra,TRUE,TRUE,system,now()
reportRoot,REGISTRATION_SUPERVISOR,fra,TRUE,TRUE,system,now()
reportRoot,REGISTRATION_ADMIN,fra,TRUE,TRUE,system,now()
uinUpdateRoot,REGISTRATION_OFFICER,fra,TRUE,TRUE,system,now()
uinUpdateRoot,REGISTRATION_SUPERVISOR,fra,TRUE,TRUE,system,now()
uinUpdateRoot,REGISTRATION_ADMIN,fra,TRUE,TRUE,system,now()
uploadPacketRoot,REGISTRATION_OFFICER,fra,TRUE,TRUE,system,now()
uploadPacketRoot,REGISTRATION_SUPERVISOR,fra,TRUE,TRUE,system,now()
uploadPacketRoot,REGISTRATION_ADMIN,fra,TRUE,TRUE,system,now()
