code,descr,lang_code,is_active,cr_by,cr_dtimes
auth-email-content,Modèle de contenu dautorisation,fra,True,superadmin,now()
auth-email-subject,Modèle pour sujet dautorisation,fra,True,superadmin,now()
auth-sms,Modèle de SMS dautorisation,fra,True,superadmin,now()
ida-auth-otp-email-content-template,Modèle de contenu de courrier électronique,fra,True,superadmin,now()
ida-auth-otp-email-subject-template,Modèle pour sujet demail,fra,True,superadmin,now()
ida-auth-otp-sms-template,Modèle pour OTP dans SMS,fra,True,superadmin,now()
RPR_DUP_UIN_EMAIL,Modèle de courrier didentité en double,fra,True,superadmin,now()
RPR_DUP_UIN_SMS,Modèle de message didentité en double,fra,True,superadmin,now()
RPR_TEC_ISSUE_EMAIL,Modèle pour courrier électronique de problème technique,fra,True,superadmin,now()
RPR_TEC_ISSUE_SMS,Modèle de message de problème technique,fra,True,superadmin,now()
RPR_UIN_GEN_EMAIL,Modèle de courrier électronique de génération didentité,fra,True,superadmin,now()
RPR_UIN_GEN_SMS,Modèle de message de génération didentité,fra,True,superadmin,now()
RPR_UIN_UPD_EMAIL,Modèle pour les détails de la mise à jour Email,fra,True,superadmin,now()
RPR_UIN_UPD_SMS,Modèle pour la mise à jour Détails Message,fra,True,superadmin,now()
NewReg-email-content-template,Modèle pour nouvelle inscription Email Content,fra,True,superadmin,now()
NewReg-email-subject-template,Modèle pour nouvelle inscription Objet de le-mail,fra,True,superadmin,now()
NewReg-sms-template,Modèle de nouvelle inscription SMS,fra,True,superadmin,now()
OTP-email-content-template,Modèle de contenu de courrier électronique de génération dOTP,fra,True,superadmin,now()
OTP-email-subject-template,Modèle pour le sujet de-mail de génération dOTP,fra,True,superadmin,now()
OTP-sms-template,Modèle pour SMS OTP,fra,True,superadmin,now()
Update-email-content-template,Modèle pour lenregistrement de la mise à jour,fra,True,superadmin,now()
Update-email-subject-template,Modèle denregistrement de mise à jour Objet de le-mail,fra,True,superadmin,now()
Update-sms-template,Modèle pour SMS denregistrement de mise à jour,fra,True,superadmin,now()
Email-Acknowledgement,Template for email confirmation,fra,True,superadmin,now()
Onscreen-Acknowledgement,On-screen recognition template,fra,True,superadmin,now()
otp-email-content-template,OTP Email Content Template,fra,True,superadmin,now()
otp-email-subject-template,Template for OTP email subject,fra,True,superadmin,now()
otp-sms-template,Template for OTP SMS,fra,True,superadmin,now()
SMS-Acknowledgement,Template for SMS Acknowledgment,fra,True,superadmin,now()
Acknowledgement-email-subject,Modèle pour le sujet d'email d'accusé de réception,fra,True,superadmin,now()
RPR_UIN_CARD_TEMPLATE,Modèle de carte UIN,fra,True,superadmin,now()
RPR_UIN_DEAC_SMS,Modèle pour SMS de désactivation UIN,fra,True,superadmin,now()
RPR_UIN_DEAC_EMAIL,Modèle pour Email de désactivation UIN,fra,True,superadmin,now()
RPR_UIN_REAC_SMS,Modèle pour UIN Réactiver SMS,fra,True,superadmin,now()
RPR_UIN_REAC_EMAIL,Modèle pour UIN Réactiver Email,fra,True,superadmin,now()
reg-sms-notification,accusé de réception,fra,True,superadmin,now()
reg-email-notification,accusé de réception,fra,True,superadmin,now()
reg-ack-template-part1,accusé de réception,fra,True,superadmin,now()
reg-ack-template-part2,accusé de réception,fra,True,superadmin,now()
reg-ack-template-part3,accusé de réception,fra,True,superadmin,now()
reg-ack-template-part4,accusé de réception,fra,True,superadmin,now()
consent,Consentement,fra,True,superadmin,now()
auth-otp-email-subject-template,Modèle dobjet de-mail Auth OTP,fra,True,superadmin,now()
auth-otp-email-content-template,Auth OTP Email ContentTemplate,fra,True,superadmin,now()
auth-otp-sms-template,Modèle SMS OTP Auth,fra,True,superadmin,now()
lostUIN-email-notification,Modèle de reconnaissance UIN perdu,fra,True,superadmin,now()
lostUIN-sms-notification,Modèle de reconnaissance UIN perdu,fra,True,superadmin,now()
updateUIN-email-notification,Mise à jour du modèle d'accusé de réception UIN,fra,True,superadmin,now()
updateUIN-sms-notification,Mise à jour du modèle d'accusé de réception UIN,fra,True,superadmin,now()
cancel-appointment,Modèle pour annuler un rendez-vous,fra,True,superadmin,now()
RPR_LOST_UIN_SMS,SMS de notification UIN perdu,fra,True,superadmin,now()
RPR_LOST_UIN_EMAIL,Email de notification UIN perdu,fra,True,superadmin,now()
RPR_MASKED_UIN_CARD_TEMPLATE,Modèle de carte Masked UIN,fra,True,superadmin,now()
RS_AUTH_HIST_SUCCESS_EMAIL,E-mail de réussite de la demande d'historique d'authentification,fra,True,superadmin,now()
RS_AUTH_HIST_SUCCESS_SMS,Historique de l'authentification des services résidents SMS de transcation,fra,True,superadmin,now()
RS_AUTH_HIST_SUCCESS_EMAIL_SUB,Succès EMAIL de la demande d'historique d'authentification,fra,True,superadmin,now()
RS_DOW_UIN_SUCCESS_EMAIL,Téléchargement réussi du courriel e-UIN,fra,True,superadmin,now()
RS_DOW_UIN_SUCCESS_EMAIL_SUB,Téléchargement réussi de l'objet de l'e-UIN,fra,True,superadmin,now()
RS_DOW_UIN_SUCCESS_SMS,Téléchargement réussi de l'e-UIN SMS,fra,True,superadmin,now()
RS_LOCK_AUTH_SUCCESS_EMAIL,Verrouillage réussi des e-mails des types d'authentification,fra,True,superadmin,now()
RS_LOCK_AUTH_SUCCESS_EMAIL_SUB,Succès du verrouillage des types d'authentification,fra,True,superadmin,now()
RS_LOCK_AUTH_SUCCESS_SMS,Verrouillage réussi des types d'authentification SMS,fra,True,superadmin,now()
RS_UNLOCK_AUTH_SUCCESS_EMAIL,Déverrouillage réussi des types d'authentification,fra,True,superadmin,now()
RS_UNLOCK_AUTH_SUCCESS_EMAIL_SUB,Déverrouillage réussi des types d'authentification Objet de l'e-mail,fra,True,superadmin,now()
RS_UNLOCK_AUTH_SUCCESS_SMS,Déverrouillage réussi des types d'authentification SMS,fra,True,superadmin,now()
RS_VIN_GEN_SUCCESS_EMAIL,E-mail de réussite de la génération VID,fra,True,superadmin,now()
RS_VIN_GEN_SUCCESS_EMAIL_SUB,Sujet de l'e-mail de réussite de la génération VID,fra,True,superadmin,now()
RS_VIN_GEN_SUCCESS_SMS,SMS de réussite de génération VID,fra,True,superadmin,now()
RS_VIN_REV_SUCCESS_EMAIL,E-mail de réussite de la révocation de VID,fra,True,superadmin,now()
RS_VIN_REV_SUCCESS_EMAIL_SUB,Sujet de l'e-mail de réussite de la révocation de VID,fra,True,superadmin,now()
RS_VIN_REV_SUCCESS_SMS,SMS de succès de révocation VID,fra,True,superadmin,now()
RS_UIN_RPR_SUCCESS_EMAIL,Réimpression de l'e-mail de réussite de la demande,fra,True,superadmin,now()
RS_UIN_RPR_SUCCESS_EMAIL_SUB,Sujet de l'e-mail de demande de réimpression réussie,fra,True,superadmin,now()
RS_UIN_RPR_SUCCESS_SMS,Réimpression SMS de réussite de la demande,fra,True,superadmin,now()
RS_AUTH_HIST_FAILURE_EMAIL,E-mail d'échec de la demande d'historique d'authentification,fra,True,superadmin,now()
RS_AUTH_HIST_FAILURE_EMAIL_SUB,Objet de l'e-mail d'échec de la demande d'historique d'authentification,fra,True,superadmin,now()
RS_AUTH_HIST_FAILURE_SMS,SMS d'échec de la demande d'historique d'authentification,fra,True,superadmin,now()
