code,name,hierarchy_level,hierarchy_level_name,hierarchy_path,parent_zone_code,lang_code,is_active,cr_by,cr_dtimes
GN,GUINEE,0,Pays,GN,,fra,TRUE,superadmin,now()
CK,CONAKRY,1,Région spéciale,GN/CK,GN,fra,TRUE,superadmin,now()
1,CONAKRY,2,Région,GN/CK/1,CK,fra,TRUE,superadmin,now()
GM,GUINEE MARITIME,1,Région naturelle,GN/GM,GN,fra,TRUE,superadmin,now()
4,BOKE,2,Région,GN/GM/4,GM,fra,TRUE,superadmin,now()
3,KINDIA,2,Région,GN/GM/3,GM,fra,TRUE,superadmin,now()
MG,MOYENNE GUINEE,1,Région naturelle,GN/MG,GN,fra,TRUE,superadmin,now()
8,MAMOU,2,Région,GN/MG/8,MG,fra,TRUE,superadmin,now()
2,LABE,2,Région,GN/MG/2,MG,fra,TRUE,superadmin,now()
HG,HAUTE GUINEE,1,Région naturelle,GN/HG,GN,fra,TRUE,superadmin,now()
5,KANKAN,2,Région,GN/HG/5,HG,fra,TRUE,superadmin,now()
6,FARANAH,2,Région,GN/HG/6,HG,fra,TRUE,superadmin,now()
GF,GUINEE FORESTIERE,1,Région naturelle,GN/GF,GN,fra,TRUE,superadmin,now()
7,N'ZEREKORE,2,Région,GN/GF/8,GF,fra,TRUE,superadmin,now()
